X,Y,Z,Z_Dither,Mean_Int_Ch1,Mean_Int_Ch2,Mean_Int_Ch3,Mean_Int_Ch4,Hemisphere,Region_ID,Segment
95.4296,39.5013,15.8655,16.1541,2278.3529,0,1562.1765,0,Right,0,C2
137.7922,139.0395,16.594,16.4816,2056.9412,0,1372.7059,0,Right,26,C2
186.6743,186.2168,16.6259,16.2606,2066.6667,0,853.5556,0,Left,70,C2
193.6775,190.7193,16.6979,16.4888,2203.069,0,783.5517,0,Left,70,C2
189.6715,192.0385,16.7238,17.3085,2084.2857,0,577.0952,0,Left,70,C2
51.9006,76.1563,18.2519,17.6345,2269.0667,0,1664.3333,0,Right,66,C2
191.8263,128.8963,16.1272,16.7068,2194.6667,0,1050.0556,0,Left,18,C2
170.7297,148.0864,16.9521,17.502,2603.3125,0,511,0,Left,70,C2
172.753,153.8093,17.0484,17.6074,2313.1818,0,713.303,0,Left,70,C2
112.6741,160.9094,18.9572,19.5036,2252.52,0,648.52,0,Right,26,C2
181.7674,165.1609,17.2044,17.0758,1855.0556,0,668.7778,0,Left,70,C2
112.5067,174.726,19.3342,19.1436,2428.4211,0,1447.7368,0,Right,26,C2
115.6173,179.225,19.3312,19.0738,2296.5714,0,1111.5714,0,Right,42,C2
187.6582,186.13,17.6308,17.6389,2364.0625,0,343.4375,0,Left,70,C2
191.6454,188.3623,17.6698,17.1898,2315,0,412.3043,0,Left,70,C2
112.0303,192.2657,19.7094,20.0475,2368.4348,0,1102.4783,0,Right,70,C2
51.9006,76.1563,18.2519,18.4517,2269.0667,0,1664.3333,0,Right,66,C2
191.8263,128.8963,16.1272,15.6981,2194.6667,0,1050.0556,0,Left,18,C2
170.7297,148.0864,16.9521,16.7999,2603.3125,0,511,0,Left,70,C2
172.753,153.8093,17.0484,16.5981,2313.1818,0,713.303,0,Left,70,C2
112.6741,160.9094,18.9572,19.2009,2252.52,0,648.52,0,Right,26,C2
181.7674,165.1609,17.2044,17.5859,1855.0556,0,668.7778,0,Left,70,C2
112.5067,174.726,19.3342,18.7155,2428.4211,0,1447.7368,0,Right,26,C2
115.6173,179.225,19.3312,19.3601,2296.5714,0,1111.5714,0,Right,42,C2
187.6582,186.13,17.6308,17.9358,2364.0625,0,343.4375,0,Left,70,C2
191.6454,188.3623,17.6698,17.2224,2315,0,412.3043,0,Left,70,C2
112.0303,192.2657,19.7094,19.6865,2368.4348,0,1102.4783,0,Right,70,C2
51.9588,76.1639,19.2588,19.3145,2269.0667,0,1664.3333,0,Right,66,C2
191.8142,128.8335,17.1316,17.228,2194.6667,0,1050.0556,0,Left,18,C2
170.7566,148.0058,17.9529,17.584,2603.3125,0,511,0,Left,70,C2
172.7762,153.7335,18.049,18.2033,2313.1818,0,713.303,0,Left,70,C2
112.7686,160.8431,19.9693,19.5752,2252.52,0,648.52,0,Right,26,C2
181.7728,165.0973,18.2077,17.596,1855.0556,0,668.7778,0,Left,70,C2
112.591,174.6593,20.3494,19.9257,2428.4211,0,1447.7368,0,Right,26,C2
115.6968,179.1583,20.3455,19.943,2296.5714,0,1111.5714,0,Right,42,C2
187.6426,186.0805,18.6381,18.6886,2364.0625,0,343.4375,0,Left,70,C2
191.6213,188.3135,18.6805,19.2728,2315,0,412.3043,0,Left,70,C2
112.0915,192.2032,20.7256,20.4074,2368.4348,0,1102.4783,0,Right,70,C2
52.0188,76.1716,20.2661,20.1343,2269.0667,0,1664.3333,0,Right,1,C2
191.8013,128.7709,18.1363,17.7833,2194.6667,0,1050.0556,0,Left,18,C2
170.7841,147.9251,18.9537,18.8687,2603.3125,0,511,0,Left,70,C2
172.7998,153.6581,19.0497,18.7162,2313.1818,0,713.303,0,Left,70,C2
112.8649,160.778,20.9818,21.4692,2252.52,0,648.52,0,Right,26,C2
181.7783,165.0358,19.211,18.6339,1855.0556,0,668.7778,0,Left,70,C2
112.6764,174.5944,21.365,21.4804,2428.4211,0,1447.7368,0,Right,26,C2
115.7774,179.0933,21.3601,21.5541,2296.5714,0,1111.5714,0,Right,42,C2
